video_path,drill_id,submitted_drill_entry_id,error_response
input_data/Tablet 2 - registered/3d6e9a16-a691-40fc-8dc8-e8a55f316233.mp4,2057,114594,
input_data/Tablet 2 - registered/4239a87d-5957-4175-b3a9-2fac1c5d9089.mp4,2060,114595,
input_data/Tablet 2 - registered/82c3e494-5ab2-4715-935b-dcd9dce100ce.mp4,2064,114596,
input_data/Tablet 2 - registered/bdbb9c95-1f8d-4d1a-90fb-2bb387b5a982.mp4,2063,114597,
input_data/Tablet 2 - registered/9a978c26-35c8-4ba8-80ff-9b6d6a9a82ff.mp4,2061,114598,
input_data/Tablet 2 - registered/f5cdbffc-61c9-4004-88b1-dd9c536d6ce0.mp4,2062,114599,
input_data/Tablet 2 - registered/c14eadde-37cc-4030-987c-c9fab33fba6a.mp4,2057,114600,
input_data/Tablet 2 - registered/68d3ef11-0c3c-452d-90cb-3610e5423c51.mp4,2060,114601,
input_data/Tablet 2 - registered/452a8120-b743-4bbf-b5c3-a1f4c9a39a19.mp4,2064,114602,
input_data/Tablet 2 - registered/c74c3502-d1a3-4d3c-b2cc-4c2f4a77759a.mp4,2063,114603,
input_data/Tablet 2 - registered/d63354cc-fd67-4a02-95b2-03f8be118290.mp4,2061,114604,
input_data/Tablet 2 - registered/aea5836b-bb15-4e51-8b1d-76fc35cb4bc5.mp4,2062,114605,
input_data/Tablet 2 - registered/8d136da1-b447-4ff2-8568-6a9b747131d7.mp4,2057,114606,
input_data/Tablet 2 - registered/b4d5ba18-8717-4687-b716-65ab9becbaf3.mp4,2060,114607,
input_data/Tablet 2 - registered/6bd242b4-e6f8-421f-88d2-1b15bb6a20e3.mp4,2064,114608,
input_data/Tablet 2 - registered/e7ce2a3a-c654-4249-a5f6-27e87867fd94.mp4,2063,114609,
input_data/Tablet 2 - registered/6e438b77-d0b8-46ab-8fcf-fda6216e0daa.mp4,2062,114610,
input_data/Tablet 2 - registered/a8731cbf-92e9-4ef0-b6fc-700b5ce91010.mp4,2061,114611,
input_data/Tablet 2 - registered/887cc549-04e0-41e3-bf54-a437f2a71a96.mp4,2057,114612,
input_data/Tablet 2 - registered/333d4d81-2694-4fbd-8099-dd2b7ec19190.mp4,2060,114613,
input_data/Tablet 2 - registered/c37228e2-6758-4b75-b28f-ca10f5486948.mp4,2064,114614,
input_data/Tablet 2 - registered/e822dcc9-45cb-4956-afce-38c6ec96f351.mp4,2063,114615,
input_data/Tablet 2 - registered/360ebb69-25e3-4247-ac35-2bb35a480584.mp4,2062,114616,
input_data/Tablet 2 - registered/2c07df03-ed5c-49b2-83b9-a6e5dae5ed7c.mp4,2061,114617,
input_data/Tablet 2 - registered/909d3dc1-7cd1-44df-8715-9c043ab81af5.mp4,2057,114618,
input_data/Tablet 2 - registered/c4762238-9250-4e80-a867-98eae02964da.mp4,2060,114619,
input_data/Tablet 2 - registered/c6f982f9-3141-4017-a9ee-3d041af13fd0.mp4,2064,114620,
input_data/Tablet 2 - registered/8c7a17ac-522d-42a7-a428-769782cd0c8c.mp4,2063,114621,
input_data/Tablet 2 - registered/8ddaf30c-1de0-4634-aca2-d4f2b84cebfd.mp4,2062,114622,
input_data/Tablet 2 - registered/7e5eafec-d501-4059-b7be-f3549b21e11e.mp4,2061,114623,
input_data/Tablet 2 - registered/220353f5-b8aa-4da2-8598-a8adeaa5972e.mp4,2057,114624,
input_data/Tablet 2 - registered/8ef97ef2-2501-4be4-9bb8-4f2b065e86d8.mp4,2060,114625,
input_data/Tablet 2 - registered/2f2a909e-ccb8-4503-ad87-3f88d791bed0.mp4,2064,114626,
input_data/Tablet 2 - registered/510892bc-8b62-472c-bae6-ff8c8d420a50.mp4,2063,114627,
input_data/Tablet 2 - registered/e2bac81d-00b9-4895-8130-702226636d55.mp4,2062,114628,
input_data/Tablet 2 - registered/e960b407-1f6f-4d1e-ad6e-7889a5535afe.mp4,2061,114629,
